datetime,temp,humidity,windspeed,conditions,recommended_outfit
2024-10-01,8.8,79.0,25.2,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-10-02,9.4,86.0,12.6,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-10-03,10.1,92.5,14.4,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-10-04,10.7,92.4,16.2,Overcast,Осенняя куртка
2024-10-05,8.8,92.3,16.2,"Rain, Overcast",Осенняя куртка и дождевик
2024-10-06,8.1,96.3,25.2,"Rain, Overcast",Осенняя куртка и дождевик
2024-10-07,8.4,96.2,16.2,Overcast,Осенняя куртка
2024-10-08,9.2,85.6,23.4,Partially cloudy,Осенняя куртка
2024-10-09,9.4,87.9,27.0,Partially cloudy,Осенняя куртка
2024-10-10,12.9,91.7,25.2,Partially cloudy,Осенняя куртка
2024-10-11,12.8,95.5,25.2,"Rain, Overcast",Осенняя куртка и дождевик
2024-10-12,7.3,85.4,21.6,Partially cloudy,Осенняя куртка
2024-10-13,5.3,88.8,18.0,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-10-14,6.8,93.4,19.8,"Rain, Overcast",Осенняя куртка и дождевик
2024-10-15,7.7,88.0,18.0,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-10-16,4.9,92.8,21.6,Partially cloudy,Теплая куртка и шарф
2024-10-17,3.0,86.4,7.2,Clear,Теплая куртка и шарф
2024-10-18,2.8,82.9,9.0,Partially cloudy,Теплая куртка и шарф
2024-10-19,2.3,85.1,7.2,Clear,Теплая куртка и шарф
2024-10-20,2.1,85.2,9.0,Clear,Теплая куртка и шарф
2024-10-21,4.9,73.9,21.6,Partially cloudy,Теплая куртка и шарф
2024-10-22,8.6,75.3,14.4,Partially cloudy,Осенняя куртка
2024-10-23,10.1,75.7,32.4,Partially cloudy,Осенняя куртка
2024-10-24,8.3,85.6,23.4,Partially cloudy,Осенняя куртка
2024-10-25,8.9,82.4,19.8,Partially cloudy,Осенняя куртка
2024-10-26,4.2,89.0,18.0,Partially cloudy,Теплая куртка и шарф
2024-10-27,7.6,91.7,10.8,Overcast,Осенняя куртка
2024-10-28,8.9,81.7,25.2,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-10-29,7.1,88.8,14.4,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-10-30,9.6,92.9,28.8,"Rain, Overcast",Осенняя куртка и дождевик
2024-10-31,8.5,80.3,25.2,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-11-01,10.2,89.2,43.2,"Rain, Overcast",Осенняя куртка и дождевик
